"day","treatment","rep","pH","methane","gas"
0,"A","1",6.39646712530729,623,933.229754620026
0,"B","1",7.13871462105533,424,576.440692113094
0,"A","2",7.54222058834153,252,381.055996248749
0,"B","2",5.82715114868533,388,537.874193940524
0,"A","3",7.21456234440553,235,272.09065309213
0,"B","3",7.25302794607879,654,737.238073790581
0,"A","4",6.71263001993268,373,354.996035105133
0,"B","4",6.72668407210791,124,189.900680789997
0,"A","5",6.71777400045336,274,444.570614123629
0,"B","5",6.55498108547795,371,524.410245959389
2,"A","1",6.76140365012323,355,699.949626528713
2,"B","1",6.50080677757015,454,547.135727632542
2,"A","2",6.61187305268101,281,395.463536626249
2,"B","2",7.03222940863813,221,392.937699804255
2,"A","3",7.47974702948539,137,237.565992370433
2,"B","3",6.94485725280461,237,340.148568212795
2,"A","4",6.74449524709668,362,451.268180735823
2,"B","4",6.54440229168509,288,362.801411436106
2,"A","5",6.58141415986553,422,569.617188101264
2,"B","5",8.20791758924467,127,277.31500427333
4,"A","1",7.06704411007602,353,372.396874319805
4,"B","1",6.75465705165453,663,804.792407531067
4,"A","2",6.77972606382339,277,366.111037557322
4,"B","2",7.22979472050293,27,125.503799050799
4,"A","3",6.65313987653126,73,256.769047644318
4,"B","3",6.27589754480676,93,349.305581899452
4,"A","4",7.28737786045036,237,601.781747281506
4,"B","4",6.48817213851806,82,204.664657605631
4,"A","5",6.99243084981791,111,471.59096288573
4,"B","5",6.5320256994158,52,136.219145230559
